"ID","Text ID","Object","Animation","Type","Trigger","Property"
"event","","none","","music","start,all",""
"","","camera","blackout","cutscene","","timer:1,instant fade,wait,fade"
"","","Alibaba","","hide","",""
"","m_bad/1","Alibaba","","","","voice:(Parchment_write;3000;0),portrait:narrator,side:left,speaker:Narrator,wait,hold"
"","m_bad/2","Alibaba","","","","voice:(Parchment_write;3000;0),portrait:narrator,side:left,speaker:Narrator,wait,hold"
"","m_bad/3","Alibaba","","","","voice:(Parchment_write;3000;0),portrait:narrator,side:left,speaker:Narrator,wait,hold"
"","","Alibaba","","","","select:choice,choice_a:Send her to the city prison.,choice_b:Banish her quietly. Let her run."
"","m_bad/A1","Alibaba","","","yes","voice:(Parchment_write;3000;0),portrait:alibaba_doubt,side:right,speaker:Ali Baba,wait,hold"
"","","camera","blackout","cutscene","yes","timer:1,wait,no auto fade out"
"","","Marjana_prison","","bgchange","yes","scene:1,POS:1,fade"
"","","camera","blackout","cutscene","yes","timer:0.5,wait,instant fade,fade"
"","m_bad/A2","Alibaba","","","yes","voice:(Parchment_write;3000;0),portrait:narrator,side:left,speaker:Narrator,wait,hold"
"","m_bad/B1","Alibaba","","","no","voice:(Parchment_write;3000;0),portrait:alibaba_doubt,side:right,speaker:Ali Baba,wait,hold"
"","","camera","blackout","cutscene","no","timer:1,wait,no auto fade out"
"","","Marjana_exile","","bgchange","no","scene:1,POS:1,fade"
"","","camera","blackout","cutscene","no","timer:0.5,wait,instant fade,fade"
"","m_bad/B2","Alibaba","","","no","voice:(Parchment_write;3000;0),portrait:narrator,side:left,speaker:Narrator,wait,hold"
"","","camera","blackout","cutscene","","timer:1,wait,no auto fade out"
"","","Alibaba_garden_alone","","bgchange","","scene:1,POS:1,fade"
"","","camera","blackout","cutscene","","timer:0.5,wait,instant fade,fade"
"","m_bad/C1","Alibaba","","","","voice:(Parchment_write;3000;0),portrait:narrator,side:left,speaker:Narrator,wait,hold"
"","m_bad/C2","Alibaba","","","","voice:(Parchment_write;3000;0),portrait:narrator,side:left,speaker:Narrator,wait,hold"
"","","camera","blackout","cutscene","","timer:1,wait,no auto fade out"
"","","Ending_card_prison","","bgchange","yes","scene:1,POS:1,fade"
"","","Ending_card_exile","","bgchange","no","scene:1,POS:1,fade"
"","","camera","blackout","cutscene","","timer:0.5,wait,instant fade,fade"
"","","Mariana","","","yes","interact"
"","","Mariana","","","no","interact"
"","m_replay_dinner","Alibaba","","","","interact,start mission:12,voice:(Parchment_write;3000;0),portrait:narrator,side:left,speaker:Narrator"
