"ID","Text ID","Object","Animation","Type","Trigger","Property"
"event","","none","","music","start,all",""
"","","camera","blackout","cutscene","","timer:1,instant fade,wait,fade"
"","","Mariana","","hide","",""
"","m7a/1","Captain","","","","voice:(Parchment_write;3000;0),portrait:chief_thief_menacing,side:right,speaker:Captain,wait,hold"
"","m7a/2","Thief","","","","voice:(Parchment_write;3000;0),portrait:standard_thief_neutral,side:left,speaker:Thief,wait,hold"
"","","camera","blackout","cutscene","","timer:1,wait,no auto fade out"
"","","Captain","","hide","",""
"","","Thief","","hide","",""
"","","Door_marked_red","","bgchange","","scene:1,POS:1,fade"
"","","camera","blackout","cutscene","","timer:0.5,wait,instant fade,fade"
"","m7a/3","Mariana","","","","voice:(Parchment_write;3000;0),portrait:narrator,side:left,speaker:Narrator,wait,hold"
"","","camera","blackout","cutscene","","timer:1,wait,no auto fade out"
"","","Alibaba_house_exterior_night","","bgchange","","scene:1,POS:1,fade"
"","","Mariana","","show","",""
"","","camera","blackout","cutscene","","timer:0.5,wait,instant fade,fade"
"","m7a/4","Mariana","","","","voice:(Parchment_write;3000;0),portrait:marianna_decisive,side:left,speaker:Marjana,wait,hold"
"","","camera","blackout","cutscene","","timer:1,wait,no auto fade out"
"","","Mariana","","hide","",""
"","","Street_marked_red","","bgchange","","scene:1,POS:1,fade"
"","","camera","blackout","cutscene","","timer:0.5,wait,instant fade,fade"
"","m7a/5","Mariana","","","","voice:(Parchment_write;3000;0),portrait:narrator,side:left,speaker:Narrator,wait,hold"
"","","camera","blackout","cutscene","","timer:1,wait,no auto fade out"
"","","Cave_execution","","bgchange","","scene:1,POS:1,fade"
"","","camera","blackout","cutscene","","timer:0.5,wait,instant fade,fade"
"","m7a/6","Captain","","","","voice:(Parchment_write;3000;0),portrait:chief_thief_menacing,side:right,speaker:Captain,wait,hold"
"","m7a/7","Thief","","","","voice:(Parchment_write;3000;0),portrait:standard_thief_neutral,side:left,speaker:Thief,wait,hold"
"","m7a/8","Captain","","","","voice:(Parchment_write;3000;0),portrait:chief_thief_menacing,side:right,speaker:Captain,wait,hold"
"","m7a/9","Captain","","","","voice:(Parchment_write;3000;0),portrait:narrator,side:left,speaker:Narrator,wait,hold"
"","m7a/10","Captain","","","","voice:(Parchment_write;3000;0),portrait:chief_thief_menacing,side:right,speaker:Captain,wait,hold"
"","","camera","blackout","cutscene","","timer:2,no auto fade out,wait"
"","m7a/end","Captain","","","","interact,start mission:9,voice:(Parchment_write;3000;0),portrait:chief_thief_menacing,side:right,speaker:Captain"
