"ID","Text ID","Object","Animation","Type","Trigger","Property"
"event","","none","","music","start,all",""
"event","","Souq Ambience","","ambient","start,all",""
"","","camera","blackout","cutscene","","timer:1,instant fade,wait,fade"
"","","Alibaba","","hide","",""
"","m5/1","Mariana","","","","voice:(Parchment_write;3000;0),portrait:marianna_decisive,side:left,speaker:Marjana,wait,hold"
"","","camera","blackout","cutscene","","timer:1,wait,no auto fade out"
"","","Mariana","","hide","",""
"","","Tailor","","hide","",""
"","","Marjana_leads_tailor","","bgchange","","scene:1,POS:1,fade"
"event","","Night Ambience","","ambient","start,all",""
"","","camera","blackout","cutscene","","timer:0.5,wait,instant fade,fade"
"","m5/3","Mariana","","","","voice:(Parchment_write;3000;0),portrait:marianna_decisive,side:left,speaker:Marjana,wait,hold"
"","","camera","blackout","cutscene","","timer:1,wait,no auto fade out"
"","","Alibaba_house","","bgchange","","scene:1,POS:1,fade"
"event","","none","","ambient","start,all",""
"","","Mariana","","show","",""
"","","Alibaba","","show","",""
"","","Tailor","","show","",""
"","","camera","blackout","cutscene","","timer:0.5,wait,instant fade,fade"
"","m5/2","Alibaba","Default","","","voice:(Parchment_write;3000;0),portrait:alibaba_worried,side:right,speaker:Ali Baba,wait,hold"
"","m5/4","Tailor","Default","","","voice:(Parchment_write;3000;0),portrait:tailor_neutral,side:right,speaker:Baba Mustafa,wait,hold"
"","m5/5","Mariana","Default","","","voice:(Parchment_write;3000;0),portrait:marianna_neutral,side:left,speaker:Marjana,wait,hold"
"","","camera","blackout","cutscene","","timer:1,wait,no auto fade out"
"","","Mariana","","hide","",""
"","","Alibaba","","hide","",""
"","","Tailor","","hide","",""
"","","Qasim_funeral","","bgchange","","scene:1,POS:1,fade"
"","","camera","blackout","cutscene","","timer:0.5,wait,instant fade,fade"
"","m5/flash1","Mariana","Default","","","voice:(Parchment_write;3000;0),portrait:narrator,side:left,speaker:Narrator,wait,hold"
"","m5/flash2","Mariana","Default","","","voice:(Parchment_write;3000;0),portrait:narrator,side:left,speaker:Narrator,wait,hold"
"","m5/flash3","Mariana","Default","","","voice:(Parchment_write;3000;0),portrait:narrator,side:left,speaker:Narrator,wait,hold"
"","","camera","blackout","cutscene","","timer:1,wait,no auto fade out"
"","","Alibaba_house","","bgchange","","scene:1,POS:1,fade"
"event","","none","","ambient","start,all",""
"","","Mariana","","show","",""
"","","Alibaba","","show","",""
"","","camera","blackout","cutscene","","timer:0.5,wait,instant fade,fade"
"","m5/6","Alibaba","Default","","","voice:(Parchment_write;3000;0),portrait:alibaba_grateful,side:right,speaker:Ali Baba,wait,hold"
"","m5/7","Mariana","Default","","","voice:(Parchment_write;3000;0),portrait:marianna_neutral,side:left,speaker:Marjana,wait,hold"
"","","camera","blackout","cutscene","","timer:2,no auto fade out,wait"
"","m5/end","Mariana","Default","","","interact,start mission:7,voice:(Parchment_write;3000;0),portrait:marianna_neutral,side:left,speaker:Marjana"
