"ID","Text ID","Object","Animation","Type","Trigger","Property"
"event","","none","","music","start,all",""
"","","camera","blackout","cutscene","","timer:1,instant fade,wait,fade"
"","","Qasim_wife","","hide","",""
"","","Gold_heap","","delete","",""
"","","Gold_pile","","delete","",""
"","","Scale","","delete","",""
"","m3/h1","Wife","Default","","","voice:(Parchment_write;3000;0),portrait:alibaba_wife_neutral,side:left,speaker:Wife,wait,hold"
"","m3/h2","Alibaba","Default","","","voice:(Parchment_write;3000;0),portrait:alibaba_worried,side:right,speaker:Ali Baba,wait,hold"
"","","Gold_heap","","place","","POS:(1900;1850),Camera:1"
"","m3/h3","Wife","Default","","","voice:(Parchment_write;3000;0),portrait:alibaba_wife_neutral,side:left,speaker:Wife,wait,hold"
"","m3/h4","Alibaba","Default","","","voice:(Parchment_write;3000;0),portrait:alibaba_worried,side:right,speaker:Ali Baba,wait,hold"
"","m3/h5","Wife","Default","","","voice:(Parchment_write;3000;0),portrait:alibaba_wife_neutral,side:left,speaker:Wife,wait,hold"
"","m3/h6","Alibaba","Default","","","voice:(Parchment_write;3000;0),portrait:alibaba_worried,side:right,speaker:Ali Baba,wait,hold"
"","m3/h7","Wife","Default","","","voice:(Parchment_write;3000;0),portrait:alibaba_wife_neutral,side:left,speaker:Wife,wait,hold"
"","","camera","blackout","cutscene","","timer:1,wait,no auto fade out"
"","","Alibaba","","hide","",""
"","","Gold_heap","","delete","",""
"","","Qasim_house","","bgchange","","scene:1,POS:1,fade"
"","","Qasim_wife","","show","",""
"","","Scale","","place","","POS:(1900;1500),Camera:1"
"","","camera","blackout","cutscene","","timer:0.5,wait,instant fade,fade"
"","m3/q1","Wife","Default","","","voice:(Parchment_write;3000;0),portrait:narrator,side:left,speaker:Narrator,wait,hold"
"","m3/q2","Wife","Default","","","voice:(Parchment_write;3000;0),portrait:alibaba_wife_neutral,side:left,speaker:Wife,wait,hold"
"","m3/q3","Wife","Default","","","voice:(Parchment_write;3000;0),portrait:narrator,side:left,speaker:Narrator,wait,hold"
"","","camera","blackout","cutscene","","timer:1,wait,no auto fade out"
"","","Wife","","hide","",""
"","","Gold_pile","","place","","POS:(2200;1450),Camera:1"
"","","camera","blackout","cutscene","","timer:0.5,wait,instant fade,fade"
"","m3/q4","Qasim_wife","Default","","","voice:(Parchment_write;3000;0),portrait:narrator,side:left,speaker:Narrator,wait,hold"
"","","camera","blackout","cutscene","","timer:2,no auto fade out,wait"
"","m3/end","Qasim_wife","Default","","","interact,start mission:4,voice:(Parchment_write;3000;0),portrait:narrator,side:left,speaker:Narrator"
