"ID","Text ID","Object","Animation","Type","Trigger","Property"
"event","","none","","music","start,all",""
"","","camera","blackout","cutscene","","timer:1,instant fade,wait,fade"
"","","Thief","","hide","",""
"","","Alibaba","","hide","",""
"","","Captain","","hide","",""
"","m6/1","Mariana","","","","voice:(Parchment_write;3000;0),portrait:marianna_neutral,side:left,speaker:Marjana,wait,hold"
"","m6/2","Mariana","","","","voice:(Parchment_write;3000;0),portrait:marianna_wary,side:left,speaker:Marjana,wait,hold"
"","m6/3","Thief","","","","voice:(Parchment_write;3000;0),portrait:standard_thief_neutral,side:right,speaker:Voice in jar,wait,hold"
"","m6/4","Mariana","","","","voice:(Parchment_write;3000;0),portrait:marianna_wary,side:left,speaker:Marjana,wait,hold"
"","","Mariana","","","","select:choice,choice_a:Whisper: 'Not yet. Soon.',choice_b:Stay silent. Walk away."
"","m6/A1","Mariana","","","yes","voice:(Parchment_write;3000;0),portrait:marianna_decisive,side:left,speaker:Marjana,wait,hold"
"","m6/A4","Mariana","","","yes","voice:(Parchment_write;3000;0),portrait:marianna_decisive,side:left,speaker:Marjana,wait,hold"
"","m6/A5","Mariana","","","yes","voice:(Parchment_write;3000;0),portrait:marianna_decisive,side:left,speaker:Marjana,wait,hold"
"","","camera","blackout","cutscene","yes","timer:1,wait,no auto fade out"
"","","Mariana","","hide","yes",""
"","","Marjana_pours_oil","","bgchange","yes","scene:1,POS:1,fade"
"","","camera","blackout","cutscene","yes","timer:0.5,wait,instant fade,fade"
"","m6/A6","Mariana","","","yes","voice:(Parchment_write;3000;0),portrait:narrator,side:left,speaker:Narrator,wait,hold"
"","","camera","blackout","cutscene","yes","timer:1,wait,no auto fade out"
"","","Chief_escape","","bgchange","yes","scene:1,POS:1,fade"
"","","camera","blackout","cutscene","yes","timer:0.5,wait,instant fade,fade"
"","m6/A7","Mariana","","","yes","voice:(Parchment_write;3000;0),portrait:narrator,side:left,speaker:Narrator,wait,hold"
"","","camera","blackout","cutscene","yes","timer:1,wait,no auto fade out"
"","","Courtyard_jars_night","","bgchange","yes","scene:1,POS:1,fade"
"","","Mariana","","show","yes",""
"","","Alibaba","","show","yes",""
"","","camera","blackout","cutscene","yes","timer:0.5,wait,instant fade,fade"
"","m6/C1","Alibaba","","","yes","voice:(Parchment_write;3000;0),portrait:alibaba_worried,side:right,speaker:Ali Baba,wait,hold"
"","m6/C2","Mariana","","","yes","voice:(Parchment_write;3000;0),portrait:marianna_decisive,side:left,speaker:Marjana,wait,hold"
"","m6/C3","Alibaba","","","yes","voice:(Parchment_write;3000;0),portrait:alibaba_grateful,side:right,speaker:Ali Baba,wait,hold"
"","m6/C4","Mariana","","","yes","voice:(Parchment_write;3000;0),portrait:marianna_neutral,side:left,speaker:Marjana,wait,hold"
"","m6/C5","Alibaba","","","yes","voice:(Parchment_write;3000;0),portrait:alibaba_grateful,side:right,speaker:Ali Baba,wait,hold"
"","m6/C6","Mariana","","","yes","voice:(Parchment_write;3000;0),portrait:marianna_neutral,side:left,speaker:Marjana,wait,hold"
"","","camera","blackout","cutscene","yes","timer:2,no auto fade out,wait"
"","m6/end","Mariana","","","yes","interact,start mission:11,voice:(Parchment_write;3000;0),portrait:marianna_neutral,side:left,speaker:Marjana"
"","m6/B1","Mariana","","","no","voice:(Parchment_write;3000;0),portrait:marianna_wary,side:left,speaker:Marjana,wait,hold"
"","m6/B2","Mariana","","","no","voice:(Parchment_write;3000;0),portrait:marianna_decisive,side:left,speaker:Marjana,wait,hold"
"","","camera","blackout","cutscene","no","timer:1,wait,no auto fade out"
"","","Mariana","","hide","no",""
"","","Marjana_betrayal","","bgchange","no","scene:1,POS:1,fade"
"","","camera","blackout","cutscene","no","timer:0.5,wait,instant fade,fade"
"","m6/B3","Captain","","","no","voice:(Parchment_write;3000;0),portrait:chief_thief_menacing,side:right,speaker:Captain (Khawaja Husain),wait,hold"
"","m6/B4","Mariana","","","no","voice:(Parchment_write;3000;0),portrait:marianna_decisive,side:left,speaker:Marjana,wait,hold"
"","m6/B5","Captain","","","no","voice:(Parchment_write;3000;0),portrait:chief_thief_menacing,side:right,speaker:Captain,wait,hold"
"","m6/B6","Mariana","","","no","voice:(Parchment_write;3000;0),portrait:marianna_decisive,side:left,speaker:Marjana,wait,hold"
"","m6/B7","Mariana","","","no","voice:(Parchment_write;3000;0),portrait:marianna_decisive,side:left,speaker:Marjana,wait,hold"
"","","camera","blackout","cutscene","no","timer:2,wait,no auto fade out"
"","","Marjana_alone_gold","","bgchange","no","scene:1,POS:1,fade"
"","","camera","blackout","cutscene","no","timer:0.5,wait,instant fade,fade"
"","m6/B8","Mariana","","","no","voice:(Parchment_write;3000;0),portrait:narrator,side:left,speaker:Narrator,wait,hold"
"","m6/B9","Mariana","","","no","voice:(Parchment_write;3000;0),portrait:narrator,side:left,speaker:Narrator,wait,hold"
"","","camera","blackout","cutscene","no","timer:1,wait,no auto fade out"
"","","Marjana_road_away","","bgchange","no","scene:1,POS:1,fade"
"","","camera","blackout","cutscene","no","timer:0.5,wait,instant fade,fade"
"","m6/B10","Mariana","","","no","voice:(Parchment_write;3000;0),portrait:narrator,side:left,speaker:Narrator,wait,hold"
"","","camera","blackout","cutscene","no","timer:3,no auto fade out,wait"
"","","camera","blackout","cutscene","no","timer:1,wait,no auto fade out"
"","","Ending_card_betrayal","","bgchange","no","scene:1,POS:1,fade"
"","","camera","blackout","cutscene","no","timer:0.5,wait,instant fade,fade"
"","","Mariana","","","no","interact"
"","m_replay_courtyard","Mariana","","","no","interact,start mission:10,voice:(Parchment_write;3000;0),portrait:narrator,side:left,speaker:Narrator"
