"ID","Text ID","Object","Animation","Type","Trigger","Property"
"event","","none","","music","start,all",""
"","","camera","blackout","cutscene","","timer:1,instant fade,wait,fade"
"","","Mariana","","hide","",""
"","","Captain","","hide","",""
"","m6t/1","Thief","","","","voice:(Parchment_write;3000;0),portrait:standard_thief_neutral,side:right,speaker:Thief,wait,hold"
"","m6t/2","Tailor","","","","voice:(Parchment_write;3000;0),portrait:tailor_neutral,side:left,speaker:Baba Mustafa,wait,hold"
"","m6t/3","Thief","","","","voice:(Parchment_write;3000;0),portrait:standard_thief_neutral,side:right,speaker:Thief,wait,hold"
"","m6t/4","Tailor","","","","voice:(Parchment_write;3000;0),portrait:tailor_neutral,side:left,speaker:Baba Mustafa,wait,hold"
"","","camera","blackout","cutscene","","timer:1,wait,no auto fade out"
"","","Tailor","","hide","",""
"","","Thief","","hide","",""
"","","Blindfolded_walk","","bgchange","","scene:1,POS:1,fade"
"","","camera","blackout","cutscene","","timer:0.5,wait,instant fade,fade"
"","m6t/5","Mariana","","","","voice:(Parchment_write;3000;0),portrait:narrator,side:left,speaker:Narrator,wait,hold"
"","m6t/6","Mariana","","","","voice:(Parchment_write;3000;0),portrait:tailor_neutral,side:left,speaker:Baba Mustafa,wait,hold"
"","m6t/7","Mariana","","","","voice:(Parchment_write;3000;0),portrait:standard_thief_neutral,side:right,speaker:Thief,wait,hold"
"","","camera","blackout","cutscene","","timer:1,wait,no auto fade out"
"","","Door_marked_white","","bgchange","","scene:1,POS:1,fade"
"","","camera","blackout","cutscene","","timer:0.5,wait,instant fade,fade"
"","m6t/8","Mariana","","","","voice:(Parchment_write;3000;0),portrait:narrator,side:left,speaker:Narrator,wait,hold"
"","","camera","blackout","cutscene","","timer:1,wait,no auto fade out"
"","","Alibaba_house_exterior_night","","bgchange","","scene:1,POS:1,fade"
"","","Mariana","","show","",""
"","","camera","blackout","cutscene","","timer:0.5,wait,instant fade,fade"
"","m6t/9","Mariana","","","","voice:(Parchment_write;3000;0),portrait:narrator,side:left,speaker:Narrator,wait,hold"
"","m6t/10","Mariana","","","","voice:(Parchment_write;3000;0),portrait:marianna_wary,side:left,speaker:Marjana,wait,hold"
"","","Mariana","","","","select:choice,choice_a:Tell the master. Mark every door tonight.,choice_b:Children's graffiti. Probably nothing."
"","","camera","blackout","cutscene","yes","timer:1,wait,no auto fade out"
"","","Mariana","","hide","yes",""
"","","Street_marked_white","","bgchange","yes","scene:1,POS:1,fade"
"","","camera","blackout","cutscene","yes","timer:0.5,wait,instant fade,fade"
"","m6t/11","Mariana","","","yes","voice:(Parchment_write;3000;0),portrait:narrator,side:left,speaker:Narrator,wait,hold"
"","","camera","blackout","cutscene","yes","timer:1,wait,no auto fade out"
"","","Cave_execution","","bgchange","yes","scene:1,POS:1,fade"
"","","camera","blackout","cutscene","yes","timer:0.5,wait,instant fade,fade"
"","m6t/12","Captain","","","yes","voice:(Parchment_write;3000;0),portrait:chief_thief_menacing,side:right,speaker:Captain,wait,hold"
"","m6t/13","Thief","","","yes","voice:(Parchment_write;3000;0),portrait:standard_thief_neutral,side:left,speaker:Thief,wait,hold"
"","m6t/14","Captain","","","yes","voice:(Parchment_write;3000;0),portrait:chief_thief_menacing,side:right,speaker:Captain,wait,hold"
"","m6t/15","Captain","","","yes","voice:(Parchment_write;3000;0),portrait:narrator,side:left,speaker:Narrator,wait,hold"
"","","camera","blackout","cutscene","yes","timer:2,no auto fade out,wait"
"","m6t/end","Captain","","","yes","interact,start mission:8,voice:(Parchment_write;3000;0),portrait:chief_thief_menacing,side:right,speaker:Captain"
"","m6t/B1","Mariana","","","no","voice:(Parchment_write;3000;0),portrait:narrator,side:left,speaker:Narrator,wait,hold"
"","","camera","blackout","cutscene","no","timer:1,wait,no auto fade out"
"","","Mariana","","hide","no",""
"","","Thieves_at_marked_door","","bgchange","no","scene:1,POS:1,fade"
"","","camera","blackout","cutscene","no","timer:0.5,wait,instant fade,fade"
"","m6t/B2","Mariana","","","no","voice:(Parchment_write;3000;0),portrait:narrator,side:left,speaker:Narrator,wait,hold"
"","","camera","blackout","cutscene","no","timer:1,wait,no auto fade out"
"","","House_burning","","bgchange","no","scene:1,POS:1,fade"
"","","camera","blackout","cutscene","no","timer:0.5,wait,instant fade,fade"
"","m6t/B3","Mariana","","","no","voice:(Parchment_write;3000;0),portrait:narrator,side:left,speaker:Narrator,wait,hold"
"","","camera","blackout","cutscene","no","timer:1,wait,no auto fade out"
"","","House_ruins","","bgchange","no","scene:1,POS:1,fade"
"","","camera","blackout","cutscene","no","timer:0.5,wait,instant fade,fade"
"","m6t/B4","Mariana","","","no","voice:(Parchment_write;3000;0),portrait:narrator,side:left,speaker:Narrator,wait,hold"
"","","camera","blackout","cutscene","no","timer:1,wait,no auto fade out"
"","","Ending_card_mark","","bgchange","no","scene:1,POS:1,fade"
"","","camera","blackout","cutscene","no","timer:0.5,wait,instant fade,fade"
"","","Mariana","","","no","interact"
"","m_replay_chalk","Mariana","","","no","interact,start mission:7,voice:(Parchment_write;3000;0),portrait:narrator,side:left,speaker:Narrator"
