"ID","Text ID","Object","Animation","Type","Trigger","Property"
"event","","none","","music","start,all",""
"","","camera","blackout","cutscene","","timer:1,instant fade,wait,fade"
"","m4/1","Alibaba","Default","","","voice:(Parchment_write;3000;0),portrait:alibaba_worried,side:right,speaker:Ali Baba,wait,hold"
"","","camera","blackout","cutscene","","timer:1,wait,no auto fade out"
"","","Mariana","","hide","",""
"","","Alibaba","","hide","",""
"","","Qasim_death_cave","","bgchange","","scene:1,POS:1,fade"
"event","","Cave Droplets","","ambient","start,all",""
"","","camera","blackout","cutscene","","timer:0.5,wait,instant fade,fade"
"","m4/flash1","Alibaba","Default","","","voice:(Parchment_write;3000;0),portrait:narrator,side:left,speaker:Narrator,wait,hold"
"","m4/flash2","Alibaba","Default","","","voice:(Parchment_write;3000;0),portrait:narrator,side:left,speaker:Narrator,wait,hold"
"","m4/flash3","Alibaba","Default","","","voice:(Parchment_write;3000;0),portrait:narrator,side:left,speaker:Narrator,wait,hold"
"","","camera","blackout","cutscene","","timer:1,wait,no auto fade out"
"","","Cave","","bgchange","","scene:1,POS:1,fade"
"","","Mariana","","show","",""
"","","Alibaba","","show","",""
"","","camera","blackout","cutscene","","timer:0.5,wait,instant fade,fade"
"","m4/2","Mariana","","","","voice:(Parchment_write;3000;0),portrait:marianna_decisive,side:left,speaker:Marjana,wait,hold"
"","","Mariana","","","","select:choice,choice_a:Let me handle it. Trust me.,choice_b:We have to run. Take what we can. Forget all of this."
"","m4/3","Alibaba","","","yes","voice:(Parchment_write;3000;0),portrait:alibaba_worried,side:right,speaker:Ali Baba,wait,hold"
"","m4/4","Mariana","","","yes","voice:(Parchment_write;3000;0),portrait:marianna_neutral,side:left,speaker:Marjana,wait,hold"
"","m4/5","Alibaba","","","yes","voice:(Parchment_write;3000;0),portrait:alibaba_grateful,side:right,speaker:Ali Baba,wait,hold"
"","m4/6","Mariana","","","yes","voice:(Parchment_write;3000;0),portrait:marianna_neutral,side:left,speaker:Marjana,wait,hold"
"","","camera","blackout","cutscene","yes","timer:2,no auto fade out,wait"
"","m4/end","Alibaba","","","yes","interact,start mission:6,voice:(Parchment_write;3000;0),portrait:alibaba_worried,side:right,speaker:Ali Baba"
"","m4/B1","Mariana","","","no","voice:(Parchment_write;3000;0),portrait:marianna_wary,side:left,speaker:Marjana,wait,hold"
"","m4/B2","Alibaba","","","no","voice:(Parchment_write;3000;0),portrait:alibaba_worried,side:right,speaker:Ali Baba,wait,hold"
"","m4/B3","Mariana","","","no","voice:(Parchment_write;3000;0),portrait:marianna_decisive,side:left,speaker:Marjana,wait,hold"
"","","camera","blackout","cutscene","no","timer:1,wait,no auto fade out"
"","","Mariana","","hide","no",""
"","","Alibaba","","hide","no",""
"","","Family_fleeing","","bgchange","no","scene:1,POS:1,fade"
"","","camera","blackout","cutscene","no","timer:0.5,wait,instant fade,fade"
"","m4/B4","Mariana","","","no","voice:(Parchment_write;3000;0),portrait:narrator,side:left,speaker:Narrator,wait,hold"
"","","camera","blackout","cutscene","no","timer:1,wait,no auto fade out"
"","","Thieves_empty_house","","bgchange","no","scene:1,POS:1,fade"
"","","camera","blackout","cutscene","no","timer:0.5,wait,instant fade,fade"
"","m4/B5","Mariana","","","no","voice:(Parchment_write;3000;0),portrait:narrator,side:left,speaker:Narrator,wait,hold"
"","","camera","blackout","cutscene","no","timer:1,wait,no auto fade out"
"","","Road_aftermath","","bgchange","no","scene:1,POS:1,fade"
"","","camera","blackout","cutscene","no","timer:0.5,wait,instant fade,fade"
"","m4/B6","Mariana","","","no","voice:(Parchment_write;3000;0),portrait:narrator,side:left,speaker:Narrator,wait,hold"
"","m4/B7","Mariana","","","no","voice:(Parchment_write;3000;0),portrait:narrator,side:left,speaker:Narrator,wait,hold"
"","","camera","blackout","cutscene","no","timer:1,wait,no auto fade out"
"","","Ending_card_hunted","","bgchange","no","scene:1,POS:1,fade"
"","","camera","blackout","cutscene","no","timer:0.5,wait,instant fade,fade"
"","","Mariana","","","no","interact"
"","m_replay_grieve","Mariana","","","no","interact,start mission:5,voice:(Parchment_write;3000;0),portrait:narrator,side:left,speaker:Narrator"
