"ID","Text ID","Object","Animation","Type","Trigger","Property"
"event","","none","","music","start,all",""
"","","camera","blackout","cutscene","","timer:1,instant fade,wait,fade"
"","","Mariana","","hide","",""
"","m3/c1","Alibaba","Default","","","voice:(Parchment_write;3000;0),portrait:narrator,side:left,speaker:Narrator,wait,hold"
"","m3/c2","Qasim","Default","","","voice:(Parchment_write;3000;0),portrait:qasim_angry,side:right,speaker:Qasim,wait,hold"
"","m3/c3","Alibaba","Default","","","voice:(Parchment_write;3000;0),portrait:alibaba_worried,side:left,speaker:Ali Baba,wait,hold"
"","m3/c4","Qasim","Default","","","voice:(Parchment_write;3000;0),portrait:qasim_angry,side:right,speaker:Qasim,wait,hold"
"","m3/c5","Alibaba","Default","","","voice:(Parchment_write;3000;0),portrait:alibaba_worried,side:left,speaker:Ali Baba,wait,hold"
"","m3/c6","Qasim","Default","","","voice:(Parchment_write;3000;0),portrait:qasim_angry,side:right,speaker:Qasim,wait,hold"
"","m3/c7","Alibaba","Default","","","voice:(Parchment_write;3000;0),portrait:alibaba_worried,side:left,speaker:Ali Baba,wait,hold"
"","m3/c8","Qasim","Default","","","voice:(Parchment_write;3000;0),portrait:qasim_angry,side:right,speaker:Qasim,wait,hold"
"","m3/c9","Alibaba","Default","","","voice:(Parchment_write;3000;0),portrait:alibaba_worried,side:left,speaker:Ali Baba,wait,hold"
"","m3/c10","Alibaba","Default","","","voice:(Parchment_write;3000;0),portrait:narrator,side:left,speaker:Narrator,wait,hold"
"","","camera","blackout","cutscene","","timer:1,wait,no auto fade out"
"","","Qasim","","hide","",""
"","","Mariana","","show","",""
"","","camera","blackout","cutscene","","timer:0.5,wait,instant fade,fade"
"","m3/1","Alibaba","Default","","","voice:(Parchment_write;3000;0),portrait:alibaba_worried,side:right,speaker:Ali Baba,wait,hold"
"","m3/2","Mariana","Default","","","voice:(Parchment_write;3000;0),portrait:marianna_wary,side:left,speaker:Marjana,wait,hold"
"","m3/3","Alibaba","Default","","","voice:(Parchment_write;3000;0),portrait:alibaba_worried,side:right,speaker:Ali Baba,wait,hold"
"","m3/4","Mariana","Default","","","voice:(Parchment_write;3000;0),portrait:marianna_wary,side:left,speaker:Marjana,wait,hold"
"","m3/5","Alibaba","Default","","","voice:(Parchment_write;3000;0),portrait:alibaba_worried,side:right,speaker:Ali Baba,wait,hold"
"","m3/6","Mariana","Default","","","voice:(Parchment_write;3000;0),portrait:marianna_decisive,side:left,speaker:Marjana,wait,hold"
"","m3/7","Alibaba","Default","","","voice:(Parchment_write;3000;0),portrait:alibaba_worried,side:right,speaker:Ali Baba,wait,hold"
"","m3/8","Mariana","Default","","","voice:(Parchment_write;3000;0),portrait:marianna_decisive,side:left,speaker:Marjana,wait,hold"
"","","camera","blackout","cutscene","","timer:2,no auto fade out,wait"
"","m3/end","Alibaba","Default","","","interact,start mission:5,voice:(Parchment_write;3000;0),portrait:alibaba_worried,side:right,speaker:Ali Baba"
