"ID","Text ID","Object","Animation","Type","Trigger","Property"
"event","","none","","music","start,all",""
"","","camera","blackout","cutscene","","timer:1,instant fade,wait,fade"
"","","Captain","","hide","",""
"","","Son","","hide","",""
"","m9/1","Captain","","","","voice:(Parchment_write;3000;0),portrait:chief_thief_menacing,side:right,speaker:Captain,wait,hold"
"","m9/2","Captain","","","","voice:(Parchment_write;3000;0),portrait:chief_thief_menacing,side:right,speaker:Captain,wait,hold"
"","","camera","blackout","cutscene","","timer:1,wait,no auto fade out"
"","","Bazaar_day_empty_middle","","bgchange","","scene:1,POS:1,fade"
"event","","Souq Ambience","","ambient","start,all",""
"","","camera","blackout","cutscene","","timer:0.5,wait,instant fade,fade"
"","m9/3","Captain","","","","voice:(Parchment_write;3000;0),portrait:narrator,side:left,speaker:Narrator,wait,hold"
"","","Captain","","show","",""
"","","Son","","show","",""
"","m9/4","Captain","","","","voice:(Parchment_write;3000;0),portrait:khawaja_husain_neutral,side:right,speaker:Khawaja Husain,wait,hold"
"","m9/5","Son","","","","voice:(Parchment_write;3000;0),portrait:alibaba_son_neutral,side:left,speaker:Ali Baba's Son,wait,hold"
"","m9/6","Captain","","","","voice:(Parchment_write;3000;0),portrait:khawaja_husain_neutral,side:right,speaker:Khawaja Husain,wait,hold"
"","m9/7","Captain","","","","voice:(Parchment_write;3000;0),portrait:narrator,side:left,speaker:Narrator,wait,hold"
"","m9/8","Son","","","","voice:(Parchment_write;3000;0),portrait:alibaba_son_neutral,side:left,speaker:Ali Baba's Son,wait,hold"
"","m9/9","Captain","","","","voice:(Parchment_write;3000;0),portrait:khawaja_husain_neutral,side:right,speaker:Khawaja Husain,wait,hold"
"","","camera","blackout","cutscene","","timer:1,wait,no auto fade out"
"","","Captain","","hide","",""
"","","Son","","hide","",""
"","","Cave","","bgchange","","scene:1,POS:1,fade"
"event","","Cave Droplets","","ambient","start,all",""
"","","camera","blackout","cutscene","","timer:0.5,wait,instant fade,fade"
"","m9/10","Captain","","","","voice:(Parchment_write;3000;0),portrait:narrator,side:left,speaker:Narrator,wait,hold"
"","","camera","blackout","cutscene","","timer:2,no auto fade out,wait"
"","m9/end","Captain","","","","interact,start mission:12,voice:(Parchment_write;3000;0),portrait:chief_thief_menacing,side:right,speaker:Captain"
