"ID","Text ID","Object","Animation","Type","Trigger","Property"
"event","","none","","music","start,all",""
"event","","Cave Droplets","","ambient","start,all",""
"","","camera","blackout","cutscene","","timer:1,instant fade,wait,fade"
"","m2/1","Alibaba","Default","","","voice:(Parchment_write;3000;0),portrait:alibaba_neutral,side:right,speaker:Ali Baba,wait,hold"
"","m2/2","Mariana","Default","","","voice:(Parchment_write;3000;0),portrait:marianna_decisive,side:left,speaker:Marjana,wait,hold"
"","m2/3","Alibaba","Default","","","voice:(Parchment_write;3000;0),portrait:alibaba_neutral,side:right,speaker:Ali Baba,wait,hold"
"","","Forest Ambience","","ambient","",""
"","","Forest_outside_cave_open","","bgchange","","scene:1,POS:1,fade"
"","","Donkey_loaded","","place","","POS:(900;1600),Camera:1"
"","","Donkey_loaded","","place","","POS:(1600;1450),Camera:1"
"","","camera","wait","cutscene","","timer:0.6,wait"
"","m2/4","Alibaba","Default","","","voice:(Parchment_write;3000;0),portrait:narrator,side:left,speaker:Narrator,wait,hold"
"","m2/5","Alibaba","Default","","","voice:(Parchment_write;3000;0),portrait:alibaba_neutral,side:right,speaker:Ali Baba,wait,hold"
"","m2/6","Mariana","Default","","","voice:(Parchment_write;3000;0),portrait:marianna_decisive,side:left,speaker:Marjana,wait,hold"
"","","Stone Slide","","sound","","sound distance:1000,shake value:2"
"","","Forest_outside_cave_half_open","","bgchange","","scene:1,POS:1,fade"
"","","camera","wait","cutscene","","timer:0.6,wait"
"","","Forest_outside_cave","","bgchange","","scene:1,POS:1,fade"
"","","camera","wait","cutscene","","timer:0.6,wait"
"","m2/7","Alibaba","Default","","","voice:(Parchment_write;3000;0),portrait:narrator,side:left,speaker:Narrator,wait,hold"
"","m2/8","Alibaba","Default","","","voice:(Parchment_write;3000;0),portrait:alibaba_worried,side:right,speaker:Ali Baba,wait,hold"
"","m2/9","Mariana","Default","","","voice:(Parchment_write;3000;0),portrait:marianna_decisive,side:left,speaker:Marjana,wait,hold"
"","","camera","blackout","cutscene","","timer:2,no auto fade out,wait"
"","m2/end","Alibaba","Default","","","interact,start mission:3,voice:(Parchment_write;3000;0),portrait:alibaba_neutral,side:right,speaker:Ali Baba"
