"ID","Text ID","Object","Animation","Type","Trigger","Property"
"event","","none","","music","start,all",""
"","","camera","blackout","cutscene","","timer:1,instant fade,wait,fade"
"","m7/1","Mariana","","","","voice:(Parchment_write;3000;0),portrait:marianna_neutral,side:left,speaker:Marjana,wait,hold"
"","m7/2","Captain","","","","voice:(Parchment_write;3000;0),portrait:khawaja_husain_neutral,side:right,speaker:Khawaja Husain,wait,hold"
"","m7/3","Mariana","","","","voice:(Parchment_write;3000;0),portrait:marianna_wary,side:left,speaker:Marjana,wait,hold"
"","m7/4","Alibaba","","","","voice:(Parchment_write;3000;0),portrait:alibaba_grateful,side:right,speaker:Ali Baba,wait,hold"
"","","camera","blackout","cutscene","","timer:1,wait,no auto fade out"
"","","Mariana","","hide","",""
"","","Alibaba","","hide","",""
"","","Son","","hide","",""
"","","Captain","","hide","",""
"","","Marjana_dances","","bgchange","","scene:1,POS:1,fade"
"","","camera","blackout","cutscene","","timer:0.5,wait,instant fade,fade"
"","m7/5","Mariana","","","","voice:(Parchment_write;3000;0),portrait:marianna_decisive,side:left,speaker:Marjana,wait,hold"
"","","camera","blackout","cutscene","","timer:1,wait,no auto fade out"
"","","Dagger_reveal","","bgchange","","scene:1,POS:1,fade"
"","","camera","blackout","cutscene","","timer:0.5,wait,instant fade,fade"
"","m7/6","Mariana","","","","voice:(Parchment_write;3000;0),portrait:marianna_decisive,side:left,speaker:Marjana,wait,hold"
"","","camera","blackout","cutscene","","timer:1,wait,no auto fade out"
"","","Marjana_strikes","","bgchange","","scene:1,POS:1,fade"
"","","camera","blackout","cutscene","","timer:0.5,wait,instant fade,fade"
"","m7/6_strike","Mariana","","","","voice:(Parchment_write;3000;0),portrait:marianna_decisive,side:left,speaker:Marjana,wait,hold"
"","","camera","blackout","cutscene","","timer:1,wait,no auto fade out"
"","","Marianna_strike_chief_death","","bgchange","","scene:1,POS:1,fade"
"","","camera","blackout","cutscene","","timer:0.5,wait,instant fade,fade"
"","m7/strike_aftermath","Mariana","","","","voice:(Parchment_write;3000;0),portrait:narrator,side:left,speaker:Narrator,wait,hold"
"","m7/7","Alibaba","","","","voice:(Parchment_write;3000;0),portrait:alibaba_worried,side:right,speaker:Ali Baba,wait,hold"
"","m7/son_shock","Son","","","","voice:(Parchment_write;3000;0),portrait:alibaba_son_shocked,side:left,speaker:Ali Baba's Son,wait,hold"
"","","camera","blackout","cutscene","","timer:1,wait,no auto fade out"
"","","Dining_hall","","bgchange","","scene:1,POS:1,fade"
"","","Mariana","","show","",""
"","","Alibaba","","show","",""
"","","camera","blackout","cutscene","","timer:0.5,wait,instant fade,fade"
"","","Mariana","","","","select:choice,choice_a:Open his robe. Look at the dagger.,choice_b:I killed the man who murdered your brother."
"","m7/A1","Mariana","","","yes","voice:(Parchment_write;3000;0),portrait:marianna_decisive,side:left,speaker:Marjana,wait,hold"
"","m7/A_alibaba_doubt","Alibaba","","","yes","voice:(Parchment_write;3000;0),portrait:alibaba_doubt,side:right,speaker:Ali Baba,wait,hold"
"","m7/A_marjana_plead","Mariana","","","yes","voice:(Parchment_write;3000;0),portrait:mariana_pleading,side:left,speaker:Marjana,wait,hold"
"","m7/A_alibaba_refuse","Alibaba","","","yes","voice:(Parchment_write;3000;0),portrait:alibaba_doubt,side:right,speaker:Ali Baba,wait,hold"
"","","camera","blackout","cutscene","yes","timer:1,wait,no auto fade out"
"","","Mariana","","hide","yes",""
"","","Alibaba","","hide","yes",""
"","","Marjana_arrested","","bgchange","yes","scene:1,POS:1,fade"
"","","camera","blackout","cutscene","yes","timer:0.5,wait,instant fade,fade"
"","m7/A_narrator","Mariana","","","yes","voice:(Parchment_write;3000;0),portrait:narrator,side:left,speaker:Narrator,wait,hold"
"","m7/A_arrested","Mariana","","","yes","voice:(Parchment_write;3000;0),portrait:narrator,side:left,speaker:Narrator,wait,hold"
"","","camera","blackout","cutscene","yes","timer:2,no auto fade out,wait"
"","m7/A_end","Alibaba","","","yes","interact,start mission:14,voice:(Parchment_write;3000;0),portrait:alibaba_doubt,side:right,speaker:Ali Baba"
"","m7/B1","Mariana","","","no","voice:(Parchment_write;3000;0),portrait:marianna_decisive,side:left,speaker:Marjana,wait,hold"
"","m7/C1","Alibaba","","","no","voice:(Parchment_write;3000;0),portrait:alibaba_grateful,side:right,speaker:Ali Baba,wait,hold"
"","m7/C2","Mariana","","","no","voice:(Parchment_write;3000;0),portrait:marianna_neutral,side:left,speaker:Marjana,wait,hold"
"","","camera","blackout","cutscene","no","timer:2,no auto fade out,wait"
"","m7/end","Alibaba","","","no","interact,start mission:13,voice:(Parchment_write;3000;0),portrait:alibaba_grateful,side:right,speaker:Ali Baba"
