"ID","Text ID","Object","Animation","Type","Trigger","Property"
"event","","none","","music","start,all",""
"","","camera","blackout","cutscene","","timer:1,instant fade,wait,fade"
"","m8/1","Alibaba","","","","voice:(Parchment_write;3000;0),portrait:alibaba_grateful,side:right,speaker:Ali Baba,wait,hold"
"","m8/2","Alibaba","","","","voice:(Parchment_write;3000;0),portrait:alibaba_grateful,side:right,speaker:Ali Baba,wait,hold"
"","m8/3","Mariana","","","","voice:(Parchment_write;3000;0),portrait:marianna_neutral,side:left,speaker:Marjana,wait,hold"
"","m8/4","Alibaba","","","","voice:(Parchment_write;3000;0),portrait:alibaba_grateful,side:right,speaker:Ali Baba,wait,hold"
"","","Mariana","","","","select:choice,choice_a:I accept. Because this is home.,choice_b:I was already family. But yes."
"","m8/A1","Mariana","","","yes","voice:(Parchment_write;3000;0),portrait:marianna_decisive,side:left,speaker:Marjana,wait,hold"
"","m8/B1","Mariana","","","no","voice:(Parchment_write;3000;0),portrait:marianna_decisive,side:left,speaker:Marjana,wait,hold"
"","","camera","blackout","cutscene","","timer:1,wait,no auto fade out"
"","","Mariana","","hide","",""
"","","Alibaba","","hide","",""
"","","Son","","hide","",""
"","","Family_ending","","bgchange","","scene:1,POS:1,fade"
"","","camera","blackout","cutscene","","timer:0.5,wait,instant fade,fade"
"","m8/C1","Alibaba","","","","voice:(Parchment_write;3000;0),portrait:alibaba_grateful,side:right,speaker:Ali Baba,wait,hold"
"","m8/C2","Mariana","","","","voice:(Parchment_write;3000;0),portrait:marianna_neutral,side:left,speaker:Marjana,wait,hold"
"","","camera","blackout","cutscene","","timer:3,no auto fade out,wait"
"","","camera","blackout","cutscene","","timer:1,wait,no auto fade out"
"","","Ending_card_family","","bgchange","","scene:1,POS:1,fade"
"","","camera","blackout","cutscene","","timer:0.5,wait,instant fade,fade"
"","","Mariana","","","","interact"
"","m_replay_start","Alibaba","","","","interact,start mission:1,voice:(Parchment_write;3000;0),portrait:narrator,side:left,speaker:Narrator"
